content,content_zh,rating,product_id,date,ai_sentiment,ai_aspects_json,ai_aspects_json_zh,ai_pain_points,ai_highlights,ai_evidence_level,annotation_status,reviewer_notes
"Excelente producto, me encanta",优秀的产品，我很喜欢,5,B0B283QP2N,2025-07-01 08:00:00,positive,"[{""key"": ""other"", ""polarity"": ""positive"", ""evidence_span"": ""Excelente producto, me encanta"", ""evidence_level"": ""certain""}]","[{""key"": ""other"", ""polarity"": ""positive"", ""evidence_span"": ""Excelente producto, me encanta"", ""evidence_level"": ""certain"", ""label_zh"": ""其他"", ""evidence_span_zh"": ""优秀的产品，我很喜欢"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""excellent product""]",certain,ai_pending_review,
Son muy buenos y carga rápido muchísimas gracias,它们非常好，充电也很快，非常感谢。,5,B0B283QP2N,2025-07-22 08:00:00,positive,"[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""carga rápido"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""carga rápido"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""快速充电"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""fast charging""]",certain,ai_pending_review,
This charger is completely bad it charges very slow u get 2% in like 3 minutes do not buy save your money now I am just going to spend the money and buy the Apple charger,这个充电器非常差劲，充电速度极慢，大约3分钟才充2%。千万别买，省下你的钱吧。我现在打算直接花钱买苹果充电器了。,1,B0B283QP2N,2025-03-20 08:00:00,negative,"[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""charges very slow u get 2% in like 3 minutes"", ""evidence_level"": ""certain""}, {""key"": ""value_for_money"", ""polarity"": ""negative"", ""evidence_span"": ""do not buy save your money"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""charges very slow u get 2% in like 3 minutes"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""充电非常慢，大约3分钟才充2%。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""value_for_money"", ""polarity"": ""negative"", ""evidence_span"": ""do not buy save your money"", ""evidence_level"": ""certain"", ""label_zh"": ""性价比"", ""evidence_span_zh"": ""不要买，省下你的钱。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""extremely slow charging"", ""waste of money""]",[],certain,ai_pending_review,
"These are great. The fast charging actually works really well. I've actually purchased these not only for myself, but for a few friends as well.",这些太棒了。快充功能确实非常好用。我自己不仅买了，还给几位朋友也买了。,5,B0B283QP2N,2025-07-02 08:00:00,positive,"[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""The fast charging actually works really well"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""The fast charging actually works really well"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""快速充电效果确实很好。"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""Fast charging works well"", ""Great product, bought for friends""]",certain,ai_pending_review,
"Perfect length, flexible and durable.",长度完美，灵活耐用。,5,B0B283QP2N,2024-11-10 08:00:00,positive,"[{""key"": ""durability"", ""polarity"": ""positive"", ""evidence_span"": ""flexible and durable"", ""evidence_level"": ""certain""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""Perfect length"", ""evidence_level"": ""certain""}]","[{""key"": ""durability"", ""polarity"": ""positive"", ""evidence_span"": ""flexible and durable"", ""evidence_level"": ""certain"", ""label_zh"": ""耐用性"", ""evidence_span_zh"": ""flexible and durable"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""Perfect length"", ""evidence_level"": ""certain"", ""label_zh"": ""便携性"", ""evidence_span_zh"": ""Perfect length"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""flexible and durable"", ""perfect length""]",certain,reviewed,"AI Aspects: 可补 {key: ""portability"", polarity: ""positive"", evidence_span: ""Perfect length"", evidence_level: ""certain""}; 线长合适属于便携/使用场景适配。"
Excellent- yellow stands out from other white cords,出色——黄色在众多白色线缆中格外显眼。,5,B0CQQYB6Q5,2025-07-18 00:00:00,positive,"[{""key"": ""aesthetics"", ""polarity"": ""positive"", ""evidence_span"": ""yellow stands out from other white cords"", ""evidence_level"": ""certain""}]","[{""key"": ""aesthetics"", ""polarity"": ""positive"", ""evidence_span"": ""yellow stands out from other white cords"", ""evidence_level"": ""certain"", ""label_zh"": ""外观设计"", ""evidence_span_zh"": ""黄色在众多白色线缆中格外显眼。"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""Distinctive yellow color""]",certain,ai_pending_review,
"Be very careful with how you handle this cord. Make sure you disconnect it from your device by pulling it at the very end and not the cord part. I’ve bought 8  in 2 separate orders so I can have plenty of charges on hand. Out of the 8 cords that I purchased,  and 4 of them either shorted out or no longer work. I was careful connecting and disconnecting them, but it doesn’t seem to matter how delicately you treat the cords….for some reason they short out or just stop working. Other than that, I love the long length and the charger has both a usb and type c plug.",处理这根线时要格外小心。务必从末端拔下，而非拉扯线身。我分两次购买了8根，以便随时有充足充电线可用。但买来的8根线中，有4根要么短路要么彻底失灵。尽管我插拔时已十分谨慎，但似乎无论多轻柔对待这些线……它们总会莫名其妙短路或停止工作。除此之外，我确实喜欢它的超长设计，且充电头同时配备USB和Type-C接口。,2,B0CQQYB6Q5,2025-11-24 00:00:00,negative,"[{""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""4 of them either shorted out or no longer work"", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""they short out or just stop working"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""Be very careful with how you handle this cord"", ""evidence_level"": ""certain""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""I love the long length"", ""evidence_level"": ""certain""}, {""key"": ""compatibility"", ""polarity"": ""positive"", ""evidence_span"": ""has both a usb and type c plug"", ""evidence_level"": ""certain""}]","[{""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""4 of them either shorted out or no longer work"", ""evidence_level"": ""certain"", ""label_zh"": ""耐用性"", ""evidence_span_zh"": ""4 of them either shorted out or no longer work"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""they short out or just stop working"", ""evidence_level"": ""certain"", ""label_zh"": ""做工"", ""evidence_span_zh"": ""they short out or just stop working"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""Be very careful with how you handle this cord"", ""evidence_level"": ""certain"", ""label_zh"": ""易用性"", ""evidence_span_zh"": ""Be very careful with how you handle this cord"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""I love the long length"", ""evidence_level"": ""certain"", ""label_zh"": ""便携性"", ""evidence_span_zh"": ""I love the long length"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}, {""key"": ""compatibility"", ""polarity"": ""positive"", ""evidence_span"": ""has both a usb and type c plug"", ""evidence_level"": ""certain"", ""label_zh"": ""兼容性"", ""evidence_span_zh"": ""has both a usb and type c plug"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]","[""cords short out or stop working"", ""requires delicate handling""]","[""long length"", ""has both USB and Type-C plug""]",certain,reviewed,"AI Aspects: 可补 {key: ""portability"", polarity: ""positive"", evidence_span: ""I love the long length"", evidence_level: ""certain""}; 可补 {key: ""compatibility"", polarity: ""positive"", evidence_span: ""has both a usb and type c plug"", evidence_level: ""certain""}。"
C charger does not secure tightly in the phone. You have to push it in with force and then not move your phone otherwise it falls out.,C型充电器在手机中插不紧，必须用力推入，之后不能移动手机，否则会脱落。,3,B0CQC97GKT,2025-03-06 00:00:00,negative,"[{""key"": ""connectivity"", ""polarity"": ""negative"", ""evidence_span"": ""does not secure tightly in the phone"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""You have to push it in with force and then not move your phone otherwise it falls out"", ""evidence_level"": ""certain""}]","[{""key"": ""connectivity"", ""polarity"": ""negative"", ""evidence_span"": ""does not secure tightly in the phone"", ""evidence_level"": ""certain"", ""label_zh"": ""连接稳定性"", ""evidence_span_zh"": ""does not secure tightly in the phone"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""You have to push it in with force and then not move your phone otherwise it falls out"", ""evidence_level"": ""certain"", ""label_zh"": ""易用性"", ""evidence_span_zh"": ""You have to push it in with force and then not move your phone otherwise it falls out"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""Charger does not fit securely"", ""Falls out easily""]",[],certain,reviewed,"AI Aspects: 修正 {key: ""build_quality""} → {key: ""connectivity"", polarity: ""negative"", evidence_span: ""does not secure tightly in the phone"", evidence_level: ""certain""}; 插头插不紧/会掉出属于连接稳定性问题。"
Not really fast charging at all. The cords work great and love the length.<br><br>One cord did not last long. One of the metallic plates broke or something causing my phone to over heat and not charge at all.<br><br>Keep an eye on your phone when using the charger just incase &amp; inspect the plug into phone regularly,"根本算不上快充。线材本身很好用，长度也很满意。  
但其中一根线没用多久就坏了——可能是金属片断裂之类的问题，导致手机过热且完全无法充电。  
使用充电器时请留意手机状况，并定期检查插入手机的接口。",3,B0B283QP2N,2025-03-11 08:00:00,neutral,"[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""Not really fast charging at all."", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""One cord did not last long. One of the metallic plates broke"", ""evidence_level"": ""certain""}, {""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""One cord did not last long."", ""evidence_level"": ""certain""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""love the length"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""Not really fast charging at all."", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""Not really fast charging at all."", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""One cord did not last long. One of the metallic plates broke"", ""evidence_level"": ""certain"", ""label_zh"": ""做工"", ""evidence_span_zh"": ""One cord did not last long. One of the metallic plates broke"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""One cord did not last long."", ""evidence_level"": ""certain"", ""label_zh"": ""耐用性"", ""evidence_span_zh"": ""One cord did not last long."", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""love the length"", ""evidence_level"": ""certain"", ""label_zh"": ""便携性"", ""evidence_span_zh"": ""love the length"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]","[""slow charging"", ""cord broke quickly"", ""phone overheating""]","[""good cord length"", ""cords work great""]",certain,reviewed,"AI Aspects: 修正 {key: ""ease_of_use""} → {key: ""portability"", polarity: ""positive"", evidence_span: ""love the length"", evidence_level: ""certain""}; 这里正面证据是线长，不是易用性。"
This charger is long and fast I’m definitely buying more .,这款充电器线长且充电快，我肯定会再买几个。,5,B09KR8P3L5,2024-09-24 08:00:00,positive,"[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""long and fast"", ""evidence_level"": ""certain""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""charger is long"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""long and fast"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""long and fast"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}, {""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""charger is long"", ""evidence_level"": ""certain"", ""label_zh"": ""便携性"", ""evidence_span_zh"": ""charger is long"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""long cable"", ""fast charging""]",certain,reviewed,"AI Aspects: 可补 {key: ""portability"", polarity: ""positive"", evidence_span: ""charger is long"", evidence_level: ""certain""}; 评论同时明确提到线长和充电快。"
I would say these USB-C fast charging bricks and cables are required for your devices.  USB-A cables and bricks charge at less than half the speed as these USB-C cables and bricks!,可以说，这些USB-C快速充电头和线缆是您设备的必备品。USB-A充电头和线缆的充电速度还不到这些USB-C线缆和充电头的一半！,5,B0B283QP2N,2025-05-13 08:00:00,positive,"[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""USB-A cables and bricks charge at less than half the speed as these USB-C cables and bricks!"", ""evidence_level"": ""certain""}, {""key"": ""compatibility"", ""polarity"": ""positive"", ""evidence_span"": ""USB-C fast charging bricks and cables are required for your devices"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""positive"", ""evidence_span"": ""USB-A cables and bricks charge at less than half the speed as these USB-C cables and bricks!"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""USB-A数据线和充电头的充电速度，还不到这些USB-C数据线和充电头的一半！"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}, {""key"": ""compatibility"", ""polarity"": ""positive"", ""evidence_span"": ""USB-C fast charging bricks and cables are required for your devices"", ""evidence_level"": ""certain"", ""label_zh"": ""兼容性"", ""evidence_span_zh"": ""您的设备需要USB-C快速充电头和充电线。"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""Fast charging speed"", ""USB-C compatibility""]",certain,ai_pending_review,
As advertised,正如广告中所说,5,B0B283QP2N,2025-04-05 08:00:00,positive,[],[],[],"[""as advertised""]",uncertain,ai_pending_review,
Great bargain for quality product.,优质产品，超值划算。,5,B09KR8P3L5,2025-03-01 00:00:00,positive,"[{""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""Great bargain for quality product"", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""positive"", ""evidence_span"": ""quality product"", ""evidence_level"": ""certain""}]","[{""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""Great bargain for quality product"", ""evidence_level"": ""certain"", ""label_zh"": ""性价比"", ""evidence_span_zh"": ""优质产品，超值划算。"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}, {""key"": ""build_quality"", ""polarity"": ""positive"", ""evidence_span"": ""quality product"", ""evidence_level"": ""certain"", ""label_zh"": ""做工"", ""evidence_span_zh"": ""优质产品"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""Great bargain"", ""Quality product""]",certain,ai_pending_review,
The cable was outdated and I had to buy a new one at the Apple Store for all most 3 times what I paid for something I couldn’t use. Sad!,这根线已经过时了，我不得不在苹果店买新的，价格几乎是我买那根用不了的线的三倍。真郁闷！,1,B0B283QP2N,2025-01-18 08:00:00,negative,"[{""key"": ""compatibility"", ""polarity"": ""negative"", ""evidence_span"": ""The cable was outdated and I had to buy a new one"", ""evidence_level"": ""certain""}, {""key"": ""value_for_money"", ""polarity"": ""negative"", ""evidence_span"": ""buy a new one at the Apple Store for all most 3 times what I paid"", ""evidence_level"": ""certain""}]","[{""key"": ""compatibility"", ""polarity"": ""negative"", ""evidence_span"": ""The cable was outdated and I had to buy a new one"", ""evidence_level"": ""certain"", ""label_zh"": ""兼容性"", ""evidence_span_zh"": ""这根线已经过时了，我不得不买一根新的。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""value_for_money"", ""polarity"": ""negative"", ""evidence_span"": ""buy a new one at the Apple Store for all most 3 times what I paid"", ""evidence_level"": ""certain"", ""label_zh"": ""性价比"", ""evidence_span_zh"": ""在苹果店买一个新的，价格几乎是我付的三倍。"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""outdated cable"", ""wasted money on incompatible product""]",[],certain,ai_pending_review,
Returning.  Connection was recognized for iPhone 14 but never charged.,返回。已识别到iPhone 14的连接，但从未充电。,1,B0B283QP2N,2024-11-23 08:00:00,negative,"[{""key"": ""compatibility"", ""polarity"": ""negative"", ""evidence_span"": ""Connection was recognized for iPhone 14 but never charged"", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""recognized for iPhone 14 but never charged"", ""evidence_level"": ""certain""}]","[{""key"": ""compatibility"", ""polarity"": ""negative"", ""evidence_span"": ""Connection was recognized for iPhone 14 but never charged"", ""evidence_level"": ""certain"", ""label_zh"": ""兼容性"", ""evidence_span_zh"": ""Connection was recognized for iPhone 14 but never charged"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}, {""key"": ""build_quality"", ""polarity"": ""negative"", ""evidence_span"": ""recognized for iPhone 14 but never charged"", ""evidence_level"": ""certain"", ""label_zh"": ""做工"", ""evidence_span_zh"": ""recognized for iPhone 14 but never charged"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""Device recognized but not charging""]",[],certain,reviewed,"AI Aspects: 可补 {key: ""build_quality"", polarity: ""negative"", evidence_span: ""recognized for iPhone 14 but never charged"", evidence_level: ""certain""}; 能识别但完全不充电更像产品功能/做工缺陷。"
Exactly as advertised- works great!!  Cords are nice and long.  😊,与描述完全一致，效果很好！！线缆又长又好。😊,5,B0B283QP2N,2025-02-11 08:00:00,positive,"[{""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""Cords are nice and long"", ""evidence_level"": ""certain""}]","[{""key"": ""portability"", ""polarity"": ""positive"", ""evidence_span"": ""Cords are nice and long"", ""evidence_level"": ""certain"", ""label_zh"": ""便携性"", ""evidence_span_zh"": ""Cords are nice and long"", ""polarity_zh"": ""正面"", ""evidence_level_zh"": ""确定""}]",[],"[""works great"", ""long cords""]",certain,reviewed,"AI Aspects: 修正 {key: ""other""} → {key: ""portability"", polarity: ""positive"", evidence_span: ""Cords are nice and long"", evidence_level: ""certain""}; 可删 {key: ""build_quality""}，证据 ""works great"" 太泛，不足以支撑做工。"
Doesn't charge fast as described,充电速度不如描述的快,3,B0B283QP2N,2025-05-01 08:00:00,negative,"[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""Doesn't charge fast as described"", ""evidence_level"": ""certain""}]","[{""key"": ""charging_speed"", ""polarity"": ""negative"", ""evidence_span"": ""Doesn't charge fast as described"", ""evidence_level"": ""certain"", ""label_zh"": ""充电速度"", ""evidence_span_zh"": ""充电速度不如描述的快"", ""polarity_zh"": ""负面"", ""evidence_level_zh"": ""确定""}]","[""charging speed slower than advertised""]",[],certain,ai_pending_review,
