content,rating,product_id,date
"I'm a hefty 200lb, 5'5"" lady. I wear a women's shoe size 8, but I got the size 9s, cause I read they run small. I'm a wildlife rescue volunteer and we had to get some domestic ducks out of a Very muddy pond so they could clean it.Pros: They fit my fatness, boobs and all. The belt part really helps. I was worried when I saw how long the leg parts were compared to my shorter legs, but with adjustment, I was able to say no to the ""toe!"" The boots were a bit loose, but the ankle part was snug enough to keep them from flopping off. PLUS: they have a little heel ridge thingie that helps you pry them loose with the opposite foot, so you don't have to touch gooey boots! They also have a handy inward-facing flap pocket, which was awesome to carry my knife for cutting rope. And they didn't rip or leak.Cons: If you're using one of those dumb ""fishing tubes,"" Don't Tip Backwards! I was doing really well until I lost my balance and tipped backwards, legs sprawled forward, and the water rushed in! Eeek! Bending over makes the back pull down. Lesson learned. Also, I do not recommend these for water-based aerobics, yoga, or karate. They don't stretch and I'd be worried they'd rip if you bend too far. Normally, I can touch my toes, in these, I can only bend halfway down. Also- No Squats!I highly recommend wearing sweat-wicking pants and shirt underneath, as you will most-likely get sweaty inside.In the end, we caught the ducks and took them to safety, and I looked no more silly than the other volunteers getting stuck in the mud! Success!",5,Wader,2025-01-13
"Though I ordered these in 10/24, today was the first day I used them. I was bummed to find that they are not water tight, as water leaked in and got me wet. If they were in the return period, I would send them back. Very uncomfortable boots.",1,Wader,2025-04-20
"I use waders to be able to wade in the lake or river with my dogs.  I previously had heavy rubber chest waders for years, so it is such a pleasure to be able to walk around comfortably in these lightweight waders.  They are nice and roomy and I appreciated the velcro pocket in the front for my phone and dog treats.  :-DThe price is right, too!  I can't speak to longevity of the product yet, but I wore it in the lake for 10 days and had no issues at all.",5,Wader,2024-10-18
I got waders and went down to river with in 5 min boot had water in it. Very disappointed,1,Wader,2024-09-30
"The boot foot chest wader was hard to put on and hard to dry. The rubber was not durable and it broke easily. The pockets were too small and the suit itself was tight. When I put on the suit, it was very cold and uncomfortable.",1,Wader,2024-09-29
"I ordered this item a total of three times and wound up returning them all. The waders fit well and will keep you dry. The addition of the phone case, hanger, and repair kit is nice too. My first set ripped on the leg the second night I took em out. Amazon replaced them no problem. My issue with this brand was the outer pocket. Regardless of the flap, contents got wet with the two sets I had no matter what. I never had the water go above the  belt line. Not sure how that was possible. The other thing I didn’t like was the rigidity of the boots. Very stiff. When you are in the water, the compression of the boots to your skin will definitely be uncomfortable after a few hours. Overall not a bad product but I had to switch to a different brand.",3,Wader,2024-09-08
Product came used with mud marks.,1,Wader,2025-07-13
"I just opened the box and tried them on! This is my first impression Im a Salmon fishermen born and raised in Alaska and now fish along the Oregon coast and have 60 plus years of fishing experience and  I fish where chest waders are a must because of the Ocean surf. I'm tired of paying for expensive waders only to get one season out of them. There's nothing worse than leaky waders only to have to put them on the next day cold and wet. Its not fun being wet and uncomfortable. So I purchased these budget waders in hope's of just getting one season out of them. Lets get to it! The packaging was nice and done well after opening the box and plastic bag I could smell the out gasing of the PVC material so you might want to hang them in your garage and not in your clothes closet or you might be in the dog house. The materials however look pretty good the shoulder straps are wide and fully adjustable nice buckles along with the waist belt. There is a small front pocket maybe to hold your fishing License or cell phone. Im 6'-2"" tall and weigh 250 pounds dressed and have size a 13 D foot so I followed the size recommendation and ordered one size larger a 14 however the boots are snug and aren't wide I dont have much room for two socks so think about that if you're standing in really cold water could be a issue. The boots themselves are very Flimsy and aren't made for rough terrain but for sand bars and small sized gravel they will be fine. The boot tread are good and should work. So the overall fit of the waders are really smaller than described the inseam length is alot shorter and the bend at the knees are tighter than I like so sitting down is snug in the legs but it's just ok. The total height of the waders are ok and I would say they are designed for a Slender skinny guys without a beer belly or if your planning to wear alot of heavy clothes underneath these they might not be for you. Also something to consider is these waders don't breathe so if your planning to use them in a warm climate you may sweat alot however the waders should work fine in cooler waters and rainy days also they do weigh about six pounds. These waders aren't for bush wacking but for open areas. So tomorrow I will give these babies the water test and see how they do and will post my findings feel free to ask me questions I would be happy to help. I hope my Experiment worksInexpensive waiters every year. For the price point and what Im seeing so far these might be a hook up.. 2nd entry (The Water Test) well after spending the last five days in the ocean surf fishing the waders have Moisture inside both legs and boots my socks are damp and my pants also are damp. Its really hard to tell if its water weeping into the waders thru the fabric or sweat do to full sun exposure and exercise. but here we are again with damp waders hmmmm its not what I had in mind but Im not Soaking wet either and the waders seem to dry overnight which is good thing, I pulled the upper legs down to the boot tops for maximum ventilation. Im reducing the rating to 3 stars and will try to get another 30 days out of them hopefully. I will date when I have more input. Good luck!",3,Wader,2024-09-08
"Fit me well.  I’m about 5’ 8” and weigh about 180 lbs.  My shoe size is 9 1/2, and I bought a wader boot size of 10.  They fit fine.  I tried them out, and they worked good.",5,Wader,2025-07-23
"I bought these for my daughter to go razor clamming for the first time and they worked great!We did all the measurements for the sizing and everything fit exactly as it should.She stayed dry and comfy and warm on those night digs and was by far the most stylish on the beach.So far they haven't leaked at all and they have taken the abuse, we will see what happens come first of the year as we have a couple more digs to do.Great purchase for kids though, they grow out of stuff so fast that you don't want to spend a fortune and these are the solution. They do have lifetime warranty though so we will see if it will make it through both my kids haha",5,Wader,2024-11-15
Bought boots for a trout fishing trip.  First day put them on walked into the stream and ended up with a wet right foot.  Leaked right at the boot seam.  Total garbage,1,Wader,2025-05-03
Waders leaked from the crotch area upon first use. Was soaked after a short time.,1,Wader,2024-11-27
"Item leaked first time I wore it, filled up whole leg. This was after the 30 day return policy on Amazon, so was directed to the seller. Seller wanted pictures of the leak and/or proof that it was leaking by putting a dry cloth and do some testing. This makes no sense. I'm willing to return item for them to do their own investigating. We'll see how this plays out, but that's my review so far. Be aware.",1,Wader,2025-06-05
Good enough fishing waders for the price.GOOD:-Keep me dryish for the most part.-Quick and easy to put on/take off.-Better soles/grip on the boots than I was expecting.-I wear size 14 shoes and these are appropriately sized with a little extra room for thick socks.NOT GOOD:-Wader material not super durable: Made it about a month before I snagged em on some thorns walking through the woods and now have a small leak somewhere between knee and hip on one side but it’s not bad enough to matter in the summer.-The seam where the boots attach to the waders is rough on the inside. Non-issue if youre wearing pants but when wearing shorts it rubbed my shins raw. Got some leggings to wear under my shorts in the summer and it’s fine.-Boot toe has no padding and toe box collapses in water. Gonna hurt if you kick a rock or catch a tree root. If you’re not standing on flat ground your toes are going to jam into the end of the boots which is uncomfortable.,3,Wader,2025-07-21
"I've now (10-1) used them quite a bit & upped to 5 stars. I originally went with 4 stars only because I have not used them fishing ... YET! I did try them on for size, tho'.THE FIT ... I am a senior male, about 190ish and 5' 8"" tall. My typical shoe size is a men's 9 but can sometimes be a 9-1/2 (US). Starting with a typical dress sock, the boots are roomy, but not too roomy. Their is certainly enough room for a warmer/winter type of sock. The inseam, or fit at the crotch, is just right and certainly NOT TOO long or nor too baggy ... pretty much GOLDILOCKS in that regard. Should the  boots prove adequate grip/slip wise for S/W shore fishing I'll upgrade stars to a 5. The feel and finish, certainly for the price is ... EXCELLENT, and YES ... they are light weight. Lastly,  The BROWN is appropriately subtle, not gaudy at all. Would buy again.",5,Wader,2025-09-14
Bought these in May on sale... used them for the first time today and my feet are soaked. ZERO STARS!,1,Wader,2024-11-15
"I am a rock hound, and anybody that knows anything about going out to the beaches knows that you get into the water. These are great.  I will say seal these a little bit more. There is some leaking around some of the seams on the foot not a whole lot so it’s tolerable, but these are comfortable and they adjust and they’re a good value for the money they’re not as quite lightweight as I would like them to be on me but they’re good for the money and I take them on all of my trips to the beach when I know I’m gonna be getting into the water.",4,Wader,2025-05-02
Don’t buy. It’s leaking. I use it for 1st time and I lost the return window.,1,Wader,2024-09-14
"These waders are awesome.  I have spent hundreds of dollars on other neoprene waders that continue to leak and lead to a less than optimal fishing experience.  These waders are lightweight and keep you dry.  They also dry out super quick between wears.  So far, I have had them for a couple weeks and I am completely satisfied.  Will they eventually tear?  Maybe but the price won't have me trying to pstch them.  I'll just get another pair.  I am thinking they will be lasting longer than my expensive waders.",5,Wader,2025-06-13
The fit is perfect from the chart.I wore these surf fishing in Washington and spent several hours up to my hips in cold ocean water.  I was comfortable and dry the entire time.,5,Wader,2024-09-02
"These are good quality.  I just used mine, and they kept the water out nicely!  There's a little breast pocket that I put my watch in.  There are cords to adjust how snugly they fit.  But I just wanted to pass on a few things:  Ladies, they tend to run smaller than the women's size advertised.  I purchased my size, and wearing them barefoot inside, my toes were hitting the front.  This was fine for what I needed them for - working in my pond, but a day of fishing would get uncomfortable.  Also, you might want to air them out a bit before using.  They emit a chemical when first opened, possibly vinyl chloride because it's like a new shower curtain smell.  I'm very chemical-sensitive, so I really notice these things.  I'm a tall, with a slightly middle-aged overweight body.  The fit was fine for me.  All in all, I would definitely recommend this product!  Four stars just because of the shoe size issue.",4,Wader,2025-09-22
Have bought from this company for years and got the waders and they leak. Got them out of the box and went to the river and noticed my leg was getting wet from the waders leaking in the boot.,1,Wader,2025-04-06
"Very budget oriented and low quality made waders. Used for 1 month and a dozen times. My right boot started leaking enough to completely fill up with water.  even though they state ""life time warranty"", there is no response from the company after filing a warranty claim.<br><br>Update:  After a couple of attempts, warranty was finally accepted.  Turns out they do not ship replacements to Canada so they were willing to refund my purchase on Amazon.  Stars are for warranty.",4,Wader,2024-09-18
"These are good-quality waders at a fair price.  I do surf fishing in California for striped bass.  I've gone through several pairs of more-expensive stocking-foot waders that always start leaking after a season or so.  I decided to give boot-foot waders a try.  I have used these new waders around 10 time so far and no leaks.  The quality seems really good and there are exterior and interior pockets that I use to hold my cell phone and car keys.  The wading belt and suspenders are nice and sturdy.  There is an included hanger to suspend the waders by the boots while drying.  I like boot foot vs. stocking foot since it is easier to rinse off the sand.  The only downside is that boot foot is not as comfortable as stocking foot.  My feet slide around a bit in the boots, which feels like it could cause a blister through my socks.  My older stocking-foot waders were more comfortable since I'd wear crocs over the stocking feet, which felt nice and snug.  I'm content with these boot foot.  I will still likely get a second pair of stocking foot for the times when I have a long hike to the fishing spot and need my feet to be more comfortable during that hike.  BTW if these waders start to leak I won't hesitate to buy another pair since they are so affordable.  I'm happy if the waders last a season or two.",4,Wader,2024-07-12
"I did finally get a hole, but it was from my own negligence, i drove my knee into a sharp stick while climbing up a hillside, i dont think any waders would have taken it well. However, the soles are durable and have really good tread, but the feel of them isnt the best, id get some insoles. The pvc is thin but does seem durable as i havent worn the knees or the butt out at all in the time ive had them (6 months or so, frequent river & creek fishing trips from summer into winter). I havent had any leakage until i had a dumby attack not too long ago, and if you layer up and wear your woolies you can still go duck hunting and fishing well into winter, ive used these in temps down to 8°F and been fine with the proper layers to go with, in the summer they arent too bad but you will probably end up sweating a good bit and not realize it till you take them off. Pretty sure sweating and waders go almost hand in hand when its above freezing out. I will say tho, since these are a one size fits all, im a bit smaller than average as far as my frame goes so the shoulder straps are always a little loose, but its not too bad",4,Wader,2025-01-17
"I am 6 feet tall, 240 lbs.  These were a little tight in the crotch and didn't allow for a ton of movement but they did keep me dry in waist-high water.  I've only used them once so far but I'm happy with them.",5,Wader,2025-01-21
Works great! Haven't had any issues. I bought to be able to clean out my pond.,5,Wader,2025-08-18
"I was a bit surprised at how well these waders turned out for the price.  After 2 duck seasons they held up pretty well.  No leaks or damage.  They stayed waterproof and kept me dry.  There is a big vest pocket for your your phone or extra shell.The soles are not padded, so through in some inserts if you want a more comfortable walk.  The only other downside is the waders smell quite strong at first.  You will need to leave them outside for quite some time before they smell normal.Overall, this was a good purchase at a great price.",5,Wader,2024-09-14
I opened the box and not only were they the wrong size and color BUT THEY WERE USED.  Mud and sand got everywhere. Ridiculous.,1,Wader,2024-11-23
"I ordered a size 13 as I normally where a 11-12 wide shoe and wanted not to feel cramped and they work perfectly, and the fit great. I ordered them as our property was flooded from Hurricane Milton and many trees are down, since I don’t want to ruin the property or our equipment driving in the water, I wear these to cut trees off of fence lines until the water goes down to wear we can use equipment again. The kept me nice and dry today in waste deep water at times and the pockets are very secure. Great product!",5,Wader,2024-11-13
Leaked with first use!,1,Wader,2024-09-15
Thin material ripped when bumped into a rock tried the patch kit and it didn’t work legs still filled with water,1,Wader,2024-09-03
"The price was right, the delivery was fast. But after using these one time, I discovered my clothing underneath was soaked, including pants & socks. ***updated*** after a second use, I've discovered they are waterproof, and the moisture inside was my own sweat! So I have moved my rating up to 5 ⭐️⭐️⭐️⭐️⭐️. Also worth noting, the company reached out to me and offered support via email when I originally rated ⭐️⭐️⭐️. I will definitely use this company again in the future.",5,Wader,2024-10-15
I bought two different sets and both of mine leaked I don't know why but they did,1,Wader,2024-10-14
perfect fit for a womens size 11.5 shoe,5,Wader,2024-10-13
functions as it should! the fitment is spot on! keeps water out and you dry! very comfortable and effective with some solid boot bottoms to match! very strong waders! high quality for such a low price! will be recommending these to my friends! comes with an awesome protective waterproof case for your phone that functions well!,5,Wader,2025-07-13
