content,content_zh,rating,product_id,date,ai_sentiment,ai_aspects_json,ai_aspects_json_zh,ai_pain_points,ai_highlights,ai_evidence_level,annotation_status,reviewer_notes
"Quality product but fit was a bit off for me. Specifically, the cups are too pointy for my liking. They are not an unnatural shape just too pointy for me. I have a D size cup on a smaller body and look for more a smooth round shape to NOT something that enhances the size of my boobs. Also, the cross strap setup is a great option but the straps are not long enough for that configuration. I am able to wear the straps crossed but it is much tighter than I would prefer. I would say a larger size might fix my concerns but I am small around so that might be a problem too.For reference, I am a 33ish D, 5'0"". So I am very aware, I am odd sized...",产品质量不错，但尺码对我来说不太合适。具体来说，罩杯形状太尖了，我不太喜欢。并不是说形状不自然，只是对我来说太尖了。我是小骨架的D罩杯，更想要平滑圆润的形状，而不是凸显胸部大小的款式。另外，交叉肩带的设计是个很好的选择，但肩带长度不够，无法实现这种配置。虽然我能把肩带交叉穿上，但比我希望的要紧得多。我觉得大一号可能能解决我的问题，但我本身骨架小，所以可能也是个问题。供参考，我大概是33D，身高5英尺。我很清楚自己的身材比较特殊。,3,B0F6V6L3LD,2026-01-27,neutral,"[{""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""fit was a bit off for me"", ""evidence_level"": ""certain""}, {""key"": ""aesthetics"", ""polarity"": ""negative"", ""evidence_span"": ""cups are too pointy for my liking"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""straps are not long enough for that configuration"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""negative"", ""evidence_span"": ""much tighter than I would prefer"", ""evidence_level"": ""certain""}, {""key"": ""build_quality"", ""polarity"": ""positive"", ""evidence_span"": ""Quality product"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""cross strap setup is a great option"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""fit was a bit off for me"", ""evidence_level"": ""确定""}, {""key"": ""外观设计"", ""polarity"": ""负面"", ""evidence_span"": ""cups are too pointy for my liking"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""straps are not long enough for that configuration"", ""evidence_level"": ""确定""}, {""key"": ""舒适度"", ""polarity"": ""负面"", ""evidence_span"": ""much tighter than I would prefer"", ""evidence_level"": ""确定""}, {""key"": ""做工"", ""polarity"": ""正面"", ""evidence_span"": ""Quality product"", ""evidence_level"": ""确定""}, {""key"": ""易用性"", ""polarity"": ""正面"", ""evidence_span"": ""cross strap setup is a great option"", ""evidence_level"": ""确定""}]","[""pointy cup shape"", ""straps too short for cross-back"", ""tight fit with crossed straps""]","[""quality product"", ""great cross strap option""]",certain,reviewed,
"The most comfortable bra I own. It is weightless, smooths the sides and doesn't pinch. The adjustable straps and ability to cross the straps with the stretchiness are fantastic. Will buy more in other colors.",这是我拥有的最舒适的内衣。它轻若无物，能抚平侧边，且不会勒紧。可调节的肩带以及利用弹性交叉肩带的设计非常棒。我会再买其他颜色的。,5,B0F6V6LVKX,2025-11-19,positive,"[{""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""The most comfortable bra I own. It is weightless, smooths the sides and doesn't pinch."", ""evidence_level"": ""certain""}, {""key"": ""stretchiness"", ""polarity"": ""positive"", ""evidence_span"": ""ability to cross the straps with the stretchiness are fantastic"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""positive"", ""evidence_span"": ""adjustable straps"", ""evidence_level"": ""certain""}]","[{""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""The most comfortable bra I own. It is weightless, smooths the sides and doesn't pinch."", ""evidence_level"": ""确定""}, {""key"": ""弹性"", ""polarity"": ""正面"", ""evidence_span"": ""ability to cross the straps with the stretchiness are fantastic"", ""evidence_level"": ""确定""}, {""key"": ""易用性"", ""polarity"": ""正面"", ""evidence_span"": ""adjustable straps"", ""evidence_level"": ""确定""}]",,"[""weightless and non-pinching"", ""adjustable and crossable straps"", ""great stretchiness""]",certain,reviewed,
Very comfy but not enough support or control if your larger than B cup,非常舒适，但如果罩杯大于B杯，支撑性和控制力不足。,3,B0DZ6DVL76,2025-12-15,neutral,"[{""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""Very comfy"", ""evidence_level"": ""certain""}, {""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""not enough support or control if your larger than B cup"", ""evidence_level"": ""certain""}]","[{""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""Very comfy"", ""evidence_level"": ""确定""}, {""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""not enough support or control if your larger than B cup"", ""evidence_level"": ""确定""}]","[""Lack of support for larger cup sizes""]","[""Comfortable""]",certain,reviewed,
I wanted to love these. But nope. Not for big breast. I am a 38 DD and these have no support for me . They jiggle and live way too much even under a medium thick sweatshirt. Not comfy. Returning.,本想爱上这款，但不行。不适合大胸。我是38DD，这款完全没支撑力。即使穿着中等厚度的运动衫，晃动感也太明显了。不舒服。退货。,1,B0F6VKZ4FB,2025-08-12,negative,"[{""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""no support for me"", ""evidence_level"": ""certain""}]","[{""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""no support for me"", ""evidence_level"": ""确定""}]",,,,reviewed,
Just received and tried on. As of right now this is the most comfortable bra I have ever owned!!! Great lift and support. Material is buttery soft and no uncomfortable wires poking. 10 out of 10 would recommend,刚收到并试穿。到目前为止，这是我有过的最舒适的文胸！！！提拉和支撑效果极佳。面料如丝般柔软，没有不舒服的钢圈扎人。十分推荐，满分十分。,5,B0G6ZMNDPZ,2026-05-07,positive,"[{""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""most comfortable bra I have ever owned"", ""evidence_level"": ""certain""}, {""key"": ""material"", ""polarity"": ""positive"", ""evidence_span"": ""Material is buttery soft"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""positive"", ""evidence_span"": ""Great lift and support"", ""evidence_level"": ""certain""}]","[{""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""most comfortable bra I have ever owned"", ""evidence_level"": ""确定""}, {""key"": ""材质用料"", ""polarity"": ""正面"", ""evidence_span"": ""Material is buttery soft"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""正面"", ""evidence_span"": ""Great lift and support"", ""evidence_level"": ""确定""}]",,"[""most comfortable bra ever"", ""buttery soft material"", ""great lift and support""]",certain,reviewed,
This claims to be a push-up. There is no push-up at all,这声称是聚拢型文胸，但根本没有聚拢效果。,3,B0DZ6BPMNQ,2026-05-26,negative,"[{""key"": ""other"", ""polarity"": ""negative"", ""evidence_span"": ""claims to be a push-up. There is no push-up at all"", ""evidence_level"": ""certain""}]","[{""key"": ""其他"", ""polarity"": ""负面"", ""evidence_span"": ""claims to be a push-up. There is no push-up at all"", ""evidence_level"": ""确定""}]","[""No push-up effect despite claims""]",[],certain,reviewed,
"So this bra is so soft and comfortable, however at the end of the day you will end up with a uni boob, the kind of just end up together, the material is so smooth and soft there is nothing to hold the breasts apart. The breasts eventually migrate together, if this does not bother you, you will love this bra. It does support and has great coverage in the underarm area and the back. It also comes with an extra extender if it would be needed. It does not come in regular sizes, I am a 46D to DD and the 2xl worked very well.",这款文胸非常柔软舒适，但一天下来会出现“连胸”现象——由于面料过于顺滑柔软，无法将双乳分隔开，最终会聚拢在一起。如果你不介意这点，你会爱上这款文胸。它具有良好的支撑性，腋下和背部覆盖面积大，还附赠加长扣以备不时之需。尺码不按常规标准，我是46D到DD罩杯，穿2XL非常合适。,4,B0F6V6RW6D,2025-12-25,positive,"[{""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""so soft and comfortable"", ""evidence_level"": ""certain""}, {""key"": ""material"", ""polarity"": ""positive"", ""evidence_span"": ""material is so smooth and soft"", ""evidence_level"": ""certain""}, {""key"": ""size_fit"", ""polarity"": ""positive"", ""evidence_span"": ""the 2xl worked very well"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""end up with a uni boob"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""positive"", ""evidence_span"": ""It does support and has great coverage"", ""evidence_level"": ""certain""}]","[{""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""so soft and comfortable"", ""evidence_level"": ""确定""}, {""key"": ""材质用料"", ""polarity"": ""正面"", ""evidence_span"": ""material is so smooth and soft"", ""evidence_level"": ""确定""}, {""key"": ""尺寸匹配"", ""polarity"": ""正面"", ""evidence_span"": ""the 2xl worked very well"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""end up with a uni boob"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""正面"", ""evidence_span"": ""It does support and has great coverage"", ""evidence_level"": ""确定""}]","[""uni boob from lack of separation""]","[""soft and comfortable material"", ""good underarm and back coverage"", ""includes extender""]",certain,reviewed,
Best bra I've ever purchased,这是我买过的最好的文胸。,5,B0F6V6L3LD,2025-12-05,positive,"[{""key"": ""other"", ""polarity"": ""positive"", ""evidence_span"": ""Best bra I've ever purchased"", ""evidence_level"": ""certain""}]","[{""key"": ""其他"", ""polarity"": ""正面"", ""evidence_span"": ""Best bra I've ever purchased"", ""evidence_level"": ""确定""}]",[],"[""best bra ever purchased""]",certain,ai_pending_review,
"(Great bra!! does what it says it’s gonna do!I really like it. It fits me perfectly.’We’ll buy again!) ????Well I tried the bra in today and there IS NOSURRORT IF YOU HAVE SIZE D cup!!LADIES, BEWARE DO NOT BUY IF YOUR LOOKING FOR SOME SUPPORT BECAUSE THIS BRA OFFERS NONE FOR LARGER BUSTS! Seems like all they do is makeC cup and it under.!! nothing on the market anymore for us, large busted gals.I can’t even find a bra with white straps with an under wire! Figure that one out! JO SUPPORT!!!",（好棒的文胸！！它确实做到了它承诺的效果！我非常喜欢。它非常合身。会再买的！）？？？？今天试穿了这款文胸，但如果你是D罩杯，它完全没有支撑力！！女士们，请注意，如果你需要支撑效果，千万不要买，因为这款文胸对大胸毫无支撑作用！看起来他们只做C罩杯及以下的尺寸！！市场上再也没有适合我们大胸女孩的产品了。我甚至找不到一款带白色肩带和钢圈的文胸！这谁能想得到！毫无支撑力！！！,1,B0FXLT4G85,2026-05-14,negative,"[{""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""NO SUPPORT IF YOU HAVE SIZE D cup"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""NO SUPPORT IF YOU HAVE SIZE D cup"", ""evidence_level"": ""certain""}]","[{""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""NO SUPPORT IF YOU HAVE SIZE D cup"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""NO SUPPORT IF YOU HAVE SIZE D cup"", ""evidence_level"": ""确定""}]","[""No support for D cup and larger""]",[],certain,reviewed,
"This bra feels just like a high dollar brand, but ALOT less money.  I wear a 38DDD, usually wear an XL, top.",这款文胸的手感与高端品牌无异，但价格却便宜得多。我穿38DDD，通常上衣穿XL码。,5,B0F6VKZ4FB,2025-11-14,positive,"[{""key"": ""value_for_money"", ""polarity"": ""positive"", ""evidence_span"": ""feels just like a high dollar brand, but ALOT less money"", ""evidence_level"": ""certain""}, {""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""feels just like a high dollar brand"", ""evidence_level"": ""certain""}, {""key"": ""material"", ""polarity"": ""positive"", ""evidence_span"": ""feels just like a high dollar brand"", ""evidence_level"": ""probable""}]","[{""key"": ""性价比"", ""polarity"": ""正面"", ""evidence_span"": ""feels just like a high dollar brand, but ALOT less money"", ""evidence_level"": ""确定""}, {""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""feels just like a high dollar brand"", ""evidence_level"": ""确定""}, {""key"": ""材质用料"", ""polarity"": ""正面"", ""evidence_span"": ""feels just like a high dollar brand"", ""evidence_level"": ""推测""}]",,"[""feels like high dollar brand"", ""much less money""]",certain,reviewed,
So comfortable and seamless! I need one in every color now!,太舒适了，而且无缝贴合！现在每个颜色我都想要一件！,5,B0FKSCLXCQ,2025-08-22,positive,"[{""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""So comfortable and seamless!"", ""evidence_level"": ""certain""}, {""key"": ""aesthetics"", ""polarity"": ""positive"", ""evidence_span"": ""I need one in every color now!"", ""evidence_level"": ""certain""}, {""key"": ""stitching"", ""polarity"": ""positive"", ""evidence_span"": ""seamless"", ""evidence_level"": ""certain""}]","[{""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""So comfortable and seamless!"", ""evidence_level"": ""确定""}, {""key"": ""外观设计"", ""polarity"": ""正面"", ""evidence_span"": ""I need one in every color now!"", ""evidence_level"": ""确定""}, {""key"": ""走线/缝合"", ""polarity"": ""正面"", ""evidence_span"": ""seamless"", ""evidence_level"": ""确定""}]",,"[""comfortable and seamless"", ""available in many colors""]",certain,reviewed,
Most comfortable bra I’ve ever had,这是我穿过最舒适的内衣。,5,B0F6VKZ4FB,2025-11-13,positive,"[{""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""Most comfortable bra I’ve ever had"", ""evidence_level"": ""certain""}]","[{""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""Most comfortable bra I’ve ever had"", ""evidence_level"": ""确定""}]",[],"[""most comfortable bra""]",certain,ai_pending_review,
"At first it is so supportive and comfortable, however after a little while the straps stretch and it becomes way less supportive. There are no adjustments for the strap to tighten back up. Also, if you're chunky lucky me, it definitely rolls up!",起初它非常支撑且舒适，但过了一段时间后，肩带会变松，支撑性大打折扣。而且肩带无法调节收紧。另外，如果你像我一样身材丰满，它肯定会卷边！,1,B0DZMK3KPW,2025-12-02,negative,"[{""key"": ""comfort"", ""polarity"": ""positive"", ""evidence_span"": ""At first it is so supportive and comfortable"", ""evidence_level"": ""certain""}, {""key"": ""durability"", ""polarity"": ""negative"", ""evidence_span"": ""after a little while the straps stretch and it becomes way less supportive"", ""evidence_level"": ""certain""}, {""key"": ""stretchiness"", ""polarity"": ""negative"", ""evidence_span"": ""the straps stretch and it becomes way less supportive"", ""evidence_level"": ""certain""}, {""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""if you're chunky lucky me, it definitely rolls up"", ""evidence_level"": ""certain""}, {""key"": ""ease_of_use"", ""polarity"": ""negative"", ""evidence_span"": ""There are no adjustments for the strap to tighten back up"", ""evidence_level"": ""certain""}, {""key"": ""cut_fit"", ""polarity"": ""negative"", ""evidence_span"": ""it definitely rolls up"", ""evidence_level"": ""certain""}]","[{""key"": ""舒适度"", ""polarity"": ""正面"", ""evidence_span"": ""At first it is so supportive and comfortable"", ""evidence_level"": ""确定""}, {""key"": ""耐用性"", ""polarity"": ""负面"", ""evidence_span"": ""after a little while the straps stretch and it becomes way less supportive"", ""evidence_level"": ""确定""}, {""key"": ""弹性"", ""polarity"": ""负面"", ""evidence_span"": ""the straps stretch and it becomes way less supportive"", ""evidence_level"": ""确定""}, {""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""if you're chunky lucky me, it definitely rolls up"", ""evidence_level"": ""确定""}, {""key"": ""易用性"", ""polarity"": ""负面"", ""evidence_span"": ""There are no adjustments for the strap to tighten back up"", ""evidence_level"": ""确定""}, {""key"": ""版型"", ""polarity"": ""负面"", ""evidence_span"": ""it definitely rolls up"", ""evidence_level"": ""确定""}]","[""Straps stretch over time"", ""No strap adjustment"", ""Rolls up for larger sizes""]","[""Initially supportive and comfortable""]",certain,reviewed,
I really don't like it.  The lining in the cup twisted when washed. Hard to fix it.  My flab in the back over hanged.  Would not order again!,非常不喜欢。杯子的内衬清洗时扭曲了，很难弄好。我背部的赘肉都露出来了。不会再买了！,4,B0F6VKZ4FB,2026-03-27,negative,"[{""key"": ""cleaning"", ""polarity"": ""negative"", ""evidence_span"": ""The lining in the cup twisted when washed"", ""evidence_level"": ""certain""}, {""key"": ""size_fit"", ""polarity"": ""negative"", ""evidence_span"": ""My flab in the back over hanged"", ""evidence_level"": ""certain""}]","[{""key"": ""易洗性"", ""polarity"": ""负面"", ""evidence_span"": ""The lining in the cup twisted when washed"", ""evidence_level"": ""确定""}, {""key"": ""尺寸匹配"", ""polarity"": ""负面"", ""evidence_span"": ""My flab in the back over hanged"", ""evidence_level"": ""确定""}]","[""lining twists after washing"", ""back flab overhangs""]",[],certain,ai_pending_review,
No good.  The pads come right out un the laundry.  Never again.,不好。护垫在洗衣时直接脱落。再也不会买了。,2,B0F6V8RDYM,2026-06-01,negative,"[{""key"": ""cleaning"", ""polarity"": ""negative"", ""evidence_span"": ""pads come right out un the laundry"", ""evidence_level"": ""certain""}]","[{""key"": ""易洗性"", ""polarity"": ""负面"", ""evidence_span"": ""pads come right out un the laundry"", ""evidence_level"": ""确定""}]","[""Pads fall out in laundry""]",[],certain,reviewed,
